mod_value: 2.2, TT: 0, h: 7.0, FP: 4, FN: 0, FPR: 0.0022222222222222222, FNR: 0.0
mod_value: 2.2, TT: 0, h: 7.5, FP: 3, FN: 0, FPR: 0.0016666666666666668, FNR: 0.0
mod_value: 2.2, TT: 0, h: 8.0, FP: 1, FN: 0, FPR: 0.0005555555555555556, FNR: 0.0


mod_value: 2.3, TT: 0, h: 1.0, FP: 398, FN: 0, FPR: 0.22111111111111112, FNR: 0.0
mod_value: 2.3, TT: 0, h: 1.5, FP: 144, FN: 0, FPR: 0.08, FNR: 0.0
mod_value: 2.3, TT: 0, h: 2.0, FP: 96, FN: 0, FPR: 0.05333333333333334, FNR: 0.0
mod_value: 2.3, TT: 0, h: 2.5, FP: 59, FN: 0, FPR: 0.03277777777777778, FNR: 0.0
mod_value: 2.3, TT: 0, h: 3.0, FP: 47, FN: 0, FPR: 0.026111111111111113, FNR: 0.0
mod_value: 2.3, TT: 0, h: 3.5, FP: 30, FN: 0, FPR: 0.016666666666666666, FNR: 0.0
mod_value: 2.3, TT: 0, h: 4.0, FP: 21, FN: 0, FPR: 0.011666666666666667, FNR: 0.0
mod_value: 2.3, TT: 0, h: 4.5, FP: 18, FN: 0, FPR: 0.01, FNR: 0.0
mod_value: 2.3, TT: 0, h: 5.0, FP: 16, FN: 0, FPR: 0.008888888888888889, FNR: 0.0
mod_value: 2.3, TT: 0, h: 5.5, FP: 12, FN: 0, FPR: 0.006666666666666667, FNR: 0.0
mod_value: 2.3, TT: 0, h: 6.0, FP: 10, FN: 0, FPR: 0.005555555555555556, FNR: 0.0
mod_value: 2.3, TT: 0, h: 6.5, FP: 8, FN: 0, FPR: 0.0044444444444444444, FNR: 0.0
mod_value: 2.3, TT: 0, h: 7.0, FP: 4, FN: 0, FPR: 0.0022222222222222222, FNR: 0.0
mod_value: 2.3, TT: 0, h: 7.5, FP: 3, FN: 0, FPR: 0.0016666666666666668, FNR: 0.0
mod_value: 2.3, TT: 0, h: 8.0, FP: 1, FN: 0, FPR: 0.0005555555555555556, FNR: 0.0


mod_value: 2.4, TT: 0, h: 1.0, FP: 398, FN: 0, FPR: 0.22111111111111112, FNR: 0.0
mod_value: 2.4, TT: 0, h: 1.5, FP: 144, FN: 0, FPR: 0.08, FNR: 0.0
mod_value: 2.4, TT: 0, h: 2.0, FP: 96, FN: 0, FPR: 0.05333333333333334, FNR: 0.0
mod_value: 2.4, TT: 0, h: 2.5, FP: 59, FN: 0, FPR: 0.03277777777777778, FNR: 0.0
mod_value: 2.4, TT: 0, h: 3.0, FP: 47, FN: 0, FPR: 0.026111111111111113, FNR: 0.0
mod_value: 2.4, TT: 0, h: 3.5, FP: 30, FN: 0, FPR: 0.016666666666666666, FNR: 0.0
mod_value: 2.4, TT: 0, h: 4.0, FP: 21, FN: 0, FPR: 0.011666666666666667, FNR: 0.0
mod_value: 2.4, TT: 0, h: 4.5, FP: 18, FN: 0, FPR: 0.01, FNR: 0.0
mod_value: 2.4, TT: 0, h: 5.0, FP: 16, FN: 0, FPR: 0.008888888888888889, FNR: 0.0
mod_value: 2.4, TT: 0, h: 5.5, FP: 12, FN: 0, FPR: 0.006666666666666667, FNR: 0.0
mod_value: 2.4, TT: 0, h: 6.0, FP: 10, FN: 0, FPR: 0.005555555555555556, FNR: 0.0
mod_value: 2.4, TT: 0, h: 6.5, FP: 8, FN: 0, FPR: 0.0044444444444444444, FNR: 0.0
mod_value: 2.4, TT: 0, h: 7.0, FP: 4, FN: 0, FPR: 0.0022222222222222222, FNR: 0.0
mod_value: 2.4, TT: 0, h: 7.5, FP: 3, FN: 0, FPR: 0.0016666666666666668, FNR: 0.0
mod_value: 2.4, TT: 0, h: 8.0, FP: 1, FN: 0, FPR: 0.0005555555555555556, FNR: 0.0


mod_value: 2.5, TT: 0, h: 1.0, FP: 398, FN: 0, FPR: 0.22111111111111112, FNR: 0.0
mod_value: 2.5, TT: 0, h: 1.5, FP: 144, FN: 0, FPR: 0.08, FNR: 0.0
mod_value: 2.5, TT: 0, h: 2.0, FP: 96, FN: 0, FPR: 0.05333333333333334, FNR: 0.0
mod_value: 2.5, TT: 0, h: 2.5, FP: 59, FN: 0, FPR: 0.03277777777777778, FNR: 0.0
mod_value: 2.5, TT: 0, h: 3.0, FP: 47, FN: 0, FPR: 0.026111111111111113, FNR: 0.0
mod_value: 2.5, TT: 0, h: 3.5, FP: 30, FN: 0, FPR: 0.016666666666666666, FNR: 0.0
mod_value: 2.5, TT: 0, h: 4.0, FP: 21, FN: 0, FPR: 0.011666666666666667, FNR: 0.0
mod_value: 2.5, TT: 0, h: 4.5, FP: 18, FN: 0, FPR: 0.01, FNR: 0.0
